edge_id,from_id,from_type,relationship,to_id,to_type,association_class,direction,evidence_strength,evidence_state,context_ids,trigger_ids,source_ids,exact_source_location,rule_id,snapshot_id,confidence_state,strength_if_quantified,unit_if_quantified,created_at,notes
edge-00021,preethi-gs-silverin-2b,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00022,preethi-gs-valentino-gts121,PRODUCT,BELONGS_TO,preethi-gas-stoves,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00023,preethi-gs-valentino-gts121,PRODUCT,FAMILY_MEMBER_OF,preethi-gs-valentino,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00024,preethi-gs-valentino-gts121,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00025,preethi-ic-ic125,PRODUCT,BELONGS_TO,preethi-induction-cooktops,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00026,preethi-ic-ic125,PRODUCT,FAMILY_MEMBER_OF,preethi-ic-indicook,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00027,preethi-ic-ic125,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00028,preethi-ic-ic116,PRODUCT,BELONGS_TO,preethi-induction-cooktops,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00029,preethi-ic-ic116,PRODUCT,FAMILY_MEMBER_OF,preethi-ic-indicook,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00030,preethi-ic-ic116,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00031,preethi-ch-kh311,PRODUCT,BELONGS_TO,preethi-chimneys,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00032,preethi-ch-kh311,PRODUCT,FAMILY_MEMBER_OF,preethi-ch-alcor,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00033,preethi-ch-kh311,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00034,preethi-ch-kh317,PRODUCT,BELONGS_TO,preethi-chimneys,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00035,preethi-ch-kh317,PRODUCT,FAMILY_MEMBER_OF,preethi-ch-alcor,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00036,preethi-ch-kh317,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00037,preethi-pc-pc024,PRODUCT,BELONGS_TO,preethi-pressure-cookers,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00038,preethi-pc-pc024,PRODUCT,FAMILY_MEMBER_OF,preethi-pc-aluminium,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00039,preethi-pc-pc024,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00040,preethi-cw-kadai26,PRODUCT,BELONGS_TO,preethi-cookware,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00041,preethi-cw-kadai26,PRODUCT,FAMILY_MEMBER_OF,preethi-cw-dura,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00042,preethi-cw-kadai26,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00043,preethi-cw-csw037,PRODUCT,BELONGS_TO,preethi-cookware,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00044,preethi-cw-csw037,PRODUCT,FAMILY_MEMBER_OF,preethi-cw-csw,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00045,preethi-cw-csw037,PRODUCT,BELONGS_TO,preethi,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00046,philips-air-ac0650-20,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00047,philips-air-ac0650-20,PRODUCT,FAMILY_MEMBER_OF,philips-air-600,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00048,philips-air-ac0650-20,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00049,philips-air-ac0650-20,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00050,philips-air-ac0650-20,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00051,philips-air-ac0650-20,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D2_CONNECTED,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00052,philips-air-ac0650-20,PRODUCT,USES_DIGITAL_LAYER,DIGITAL_CONNECTIVITY,DIGITAL,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-DIGITAL-LAYER,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00053,philips-air-ac0651-10,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00054,philips-air-ac0651-10,PRODUCT,FAMILY_MEMBER_OF,philips-air-600,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00055,philips-air-ac0651-10,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00056,philips-air-ac0651-10,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00057,philips-air-ac0651-10,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00058,philips-air-ac0850-41,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00059,philips-air-ac0850-41,PRODUCT,FAMILY_MEMBER_OF,philips-air-800,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00060,philips-air-ac0850-41,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00061,philips-air-ac0850-41,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00062,philips-air-ac0850-41,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00063,philips-air-ac0920-10,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00064,philips-air-ac0920-10,PRODUCT,FAMILY_MEMBER_OF,philips-air-pureprotect-mini-900,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00065,philips-air-ac0920-10,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00066,philips-air-ac0920-10,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00067,philips-air-ac0920-10,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00068,philips-air-ac0950-10,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00069,philips-air-ac0950-10,PRODUCT,FAMILY_MEMBER_OF,philips-air-pureprotect-mini-900,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00070,philips-air-ac0950-10,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00071,philips-air-ac0950-10,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00072,philips-air-ac0950-10,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00073,philips-air-ac0951-13,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00074,philips-air-ac0951-13,PRODUCT,FAMILY_MEMBER_OF,philips-air-pureprotect-mini-900,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00075,philips-air-ac0951-13,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00076,philips-air-ac0951-13,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00077,philips-air-ac0951-13,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D3_ADAPTIVE,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"ai_claim text references routine/history-based adaptation, not just a sensor threshold"
edge-00078,philips-air-ac0951-13,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D2_CONNECTED,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00079,philips-air-ac0951-13,PRODUCT,USES_DIGITAL_LAYER,DIGITAL_CONNECTIVITY,DIGITAL,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-DIGITAL-LAYER,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00080,philips-air-ac1715-41,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00081,philips-air-ac1715-41,PRODUCT,FAMILY_MEMBER_OF,philips-air-1000i,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00082,philips-air-ac1715-41,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00083,philips-air-ac1715-41,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00084,philips-air-ac1715-41,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00085,philips-air-ac2889-40,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00086,philips-air-ac2889-40,PRODUCT,FAMILY_MEMBER_OF,philips-air-2000,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00087,philips-air-ac2889-40,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00088,philips-air-ac2889-40,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00089,philips-air-ac2889-40,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00090,philips-air-ac2220-10,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00091,philips-air-ac2220-10,PRODUCT,FAMILY_MEMBER_OF,philips-air-pureprotect-quiet-2200,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00092,philips-air-ac2220-10,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00093,philips-air-ac2220-10,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00094,philips-air-ac2220-10,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D3_ADAPTIVE,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"ai_claim text references routine/history-based adaptation, not just a sensor threshold"
edge-00095,philips-air-ac3033-73,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00096,philips-air-ac3033-73,PRODUCT,FAMILY_MEMBER_OF,philips-air-3000,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00097,philips-air-ac3033-73,PRODUCT,BELONGS_TO,philips,BRAND,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00098,philips-air-ac3033-73,PRODUCT,HAS_CAPABILITY,ARCH_A1_DEDICATED_PURIFICATION,CAPABILITY,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-A-ARCHITECTURE,p0-census-2026-08-26,HIGH,,,2026-08-26,
edge-00099,philips-air-ac3033-73,PRODUCT,USES_INTELLIGENCE_LEVEL,INTEL_D0_MANUAL,INTELLIGENCE,Functional,DIRECTED,HIGH,DERIVED,,,,,RULE-LENS-D-INTELLIGENCE,p0-census-2026-08-26,MEDIUM,,,2026-08-26,"no sensor/ai_claim spec row captured for this SKU -- absence of evidence, not confirmed absence of feature"
edge-00100,philips-air-ac3220-10,PRODUCT,BELONGS_TO,philips-air-climate,CATEGORY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,from products.csv category_id foreign key
edge-00101,philips-air-ac3220-10,PRODUCT,FAMILY_MEMBER_OF,philips-air-pureprotect-3200,FAMILY,Functional,DIRECTED,HIGH,OBSERVED,,,,,RULE-IDENTITY-BELONGS-TO,p0-census-2026-08-26,HIGH,,,2026-08-26,
