competitor_id,company_name,parent_company,hq_country,hq_city,origin_country,official_domain,ownership_notes,source_ids,logo_url,logo_source_page,logo_state,logo_bg
miele,Miele & Cie. KG,,Germany,Gutersloh,Germany,miele.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-221a0891e280|src-bbfb5e5c2d22,/logos/miele.svg,https://www.miele.com,VERIFIED_OFFICIAL,light
bsh-bosch,BSH Hausgeraete GmbH (Bosch),BSH Hausgeraete GmbH,Germany,Munich,Germany,bosch-home.com,"Maker of Bosch-brand home appliances. Header uses a fully inlined SVG wordmark with no hosted file; largest confirmed same-domain asset is a 196x196 favicon (the 'B' mark only, not the full wordmark). Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-c5e08ef5c8af|src-ebe50dfa1e66,/logos/bsh-bosch.png,https://www.bosch-home.com,FAVICON_FALLBACK,light
electrolux,Electrolux AB (Electrolux Group),,Sweden,Stockholm,Sweden,electroluxgroup.com,"LOGO FIX 2026-08-27: electroluxgroup.com blocked all direct fetches from this environment (connection reset/timeout) -- replaced with electroluxgroup.com's own favicon.ico (16x16, converted to PNG).",src-85db7939dbaa|src-a96078e53f95,/logos/electrolux.png,https://www.electroluxgroup.com,FAVICON_FALLBACK,light
ring,Ring LLC (Amazon),Amazon,United States,"Santa Monica, California",United States,ring.com,"CORRECTED 2026-08-27 per independent audit: originally recorded as Hawthorne, CA; true HQ is Santa Monica, CA (1523 26th St). Ring is building out a Hawthorne campus, but that is not the current HQ address. Homepage logo is inline SVG with no standalone file; the official Press Room provides a confirmed ZIP archive of logos, but a ZIP is not a renderable image -- recorded as MISSING for display purposes (app shows initials fallback) even though a legitimate official asset technically exists at this URL.",src-1a4e76ffaf63,https://assets.ctfassets.net/2xsswpd01u70/5srFQh3aTe5D6Vk1LxsKT6/5070b1f2b0c82bac406b95e65eec4f7e/ring-logos.zip,https://ring.com/press,MISSING,
anker-eufy,Anker Innovations (eufy),,China,"Changsha, Hunan",China,eufy.com,"Anker's own corporate source states Changsha; a secondary eufy.lu snippet suggested Shenzhen -- used the more authoritative Anker corporate source. AUDIT NOTE 2026-08-27: independent audit found conflicting third-party claims that the eufy brand specifically may be based in Shenzhen rather than Anker's confirmed Changsha corporate HQ -- not changed, since the claim matches the documented parent-company HQ, but flagged as a soft caveat. Square icon/mark (96x96) from the site's own schema.org Organization JSON-LD, not the full wordmark. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-396512feed8a|src-b7fc496d5780,/logos/anker-eufy.png,https://www.eufy.com,VERIFIED_OFFICIAL,light
ezviz,"Hangzhou EZVIZ Network Co., Ltd.",,China,Hangzhou,China,ezviz.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-0c6139b9c41a|src-69fa9cda76d9,/logos/ezviz.png,https://www.ezviz.com,VERIFIED_OFFICIAL,light
petsafe,Radio Systems Corporation (PetSafe),,United States,"Knoxville, Tennessee",United States,petsafe.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-d5c128bc12ca|src-482030c5dfcb,/logos/petsafe.svg,https://www.petsafe.com,VERIFIED_OFFICIAL,light
sureflap-petcare,SureFlap Ltd (Sure Petcare),,United Kingdom,"Cambourne, Cambridgeshire",United Kingdom,surepetcare.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-d4d165cfe013|src-ca03b639c3b8,/logos/sureflap-petcare.png,https://www.surepetcare.com,VERIFIED_OFFICIAL,light
catit-hagen,Rolf C. Hagen Inc. (Catit),,Canada,"Baie d'Urfe, Quebec",Canada,catit.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-6456ce4079ad|src-b53e202dd6f5,/logos/catit-hagen.png,https://www.catit.com,VERIFIED_OFFICIAL,light
petlibro,PetLibro,,United States,"Santa Clara, California",United States,petlibro.com,"Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-441a1f246eb2|src-15a977c8a06e,/logos/petlibro.svg,https://petlibro.com,VERIFIED_OFFICIAL,light
husqvarna,Husqvarna AB / Husqvarna Group,,Sweden,Jonkoping (Huskvarna),Sweden,husqvarna.com,"HQ confirmed but no verifiable official price found this session for a comparable robot mower (dealer-network / JS-rendered storefront, several NL/UK retailers blocked the fetch) -- listed for identity only, no priced product. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-bbca5f2a8df9|src-f06f088691ed,/logos/husqvarna.png,https://www.husqvarna.com,VERIFIED_OFFICIAL,light
gardena,GARDENA GmbH,,Germany,Ulm,Germany,gardena.com,"HQ confirmed but no verifiable official price found this session for a comparable robot mower -- listed for identity only, no priced product. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-de0ed4ef3ce6|src-afcf4a9014fe,/logos/gardena.svg,https://www.gardena.com,VERIFIED_OFFICIAL,light
ecovacs,ECOVACS Robotics,,China,Suzhou,China,ecovacs.com,"No hosted logo image found; header/nav logo is inline SVG with currentColor fill and no CDN URL, no press/media-kit page found either. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-1b69118690aa|src-b0fe986580bb,/logos/ecovacs.png,https://www.ecovacs.com/us,FAVICON_FALLBACK,light
positec-worx,Positec Tool Corporation (Worx),,United States,North Carolina,China,worx.com,"Cited HQ is the US operating entity per worx.com's own terms page; Positec's actual global parent HQ is widely reported (third-party sources only, not confirmed via an official page this session) as Suzhou, China -- origin_country reflects that unconfirmed-but-likely fact, hq_country reflects only what was directly sourced. Logo self-hosted locally 2026-08-27 (was hotlinked externally, which failed to render in the user's browser due to CORS/referrer blocking on several CDNs).",src-6b990e2697ed|src-32bcdaf2d816,/logos/positec-worx.svg,https://www.worx.com,VERIFIED_OFFICIAL,light
groupeseb-arno,Groupe SEB (Arno),Groupe SEB,France,Ecully,France,arno.com.br,"Same parent as Tefal (tefal-groupeseb) and Krups (groupeseb-krups) -- Arno is Groupe SEB's Brazilian consumer brand, a distinct entity per this project's brand-as-row convention.",src-d6526ebb41a3,,,MISSING,light
mondial,MK Eletrodomesticos Mondial S/A,,Brazil,"Conceicao do Jacuipe, Bahia",Brazil,mondial.com.br,"Legal registered HQ (""sede"") per Mondial's own privacy policy is Conceicao do Jacuipe, BA (manufacturing-plant town); independent press describes Barueri, SP as the administrative/commercial HQ -- the Bahia address is used here as the one directly sourced from Mondial's own official page.",src-6ac7c5f20085,,,MISSING,light
britania,Britania Eletrodomesticos S.A.,,Brazil,"Curitiba, Parana",Brazil,britania.com.br,"HQ sourced from a business registry (econodata.com.br) citing Britania's own CNPJ filing -- WebFetch could not render the address text directly on britania.com.br's own privacy-policy page, so this is Tier B for the HQ fact specifically (product prices below are still Tier A, from britania.com.br itself).",src-19ce8ad16681,,,MISSING,light
cadence,Cadence Eletrodomesticos,,Brazil,Sao Paulo (Vila Olimpia),Brazil,cadence.com.br,"Brand founded in Caxias do Sul, RS in 1999; current HQ in Sao Paulo, SP per Cadence's own corporate page.",src-a87eceddcb84,,,MISSING,light
