competitor_product_id,dimension,status,evidence_note,source_id
coway-airmega-150,LEARN,UNKNOWN,No individual-preference learning described.,src-a80922df1d87
coway-airmega-150,COORDINATE,UNKNOWN,No app/voice/other-device integration mentioned for this base model.,src-a80922df1d87
coway-airmega-mighty,SENSE,UNKNOWN,"Spec sheet lists only a 3-colour Air Quality Indicator; no specific sensor type named, confirmed on direct re-check.",src-4f39a466b679
coway-airmega-mighty,REACT,EVIDENCED,Fan automatically stops after 30 min of no detected pollution to save energy; 5-stage airflow includes Auto/Eco.,src-4f39a466b679
coway-airmega-mighty,ADAPT,UNKNOWN,No accumulated-pattern behavior described.,src-4f39a466b679
coway-airmega-mighty,PREDICT,UNKNOWN,No forecast/prediction feature described.,src-4f39a466b679
coway-airmega-mighty,LEARN,UNKNOWN,No individual-preference learning described.,src-4f39a466b679
coway-airmega-mighty,COORDINATE,UNKNOWN,"Coway Iocare App + Alexa/Google Home -- single generic app/voice integration only, no multi-device coordination.",src-4f39a466b679
levoit-core-300s,SENSE,EVIDENCED,"Laser dust sensor with higher accuracy, faster detection, particle size range >=0.3um.",src-4248e3ef755d
levoit-core-300s,REACT,EVIDENCED,Automatic mode selects the most-needed fan mode according to real-time air quality.,src-4248e3ef755d
levoit-core-300s,ADAPT,UNKNOWN,No accumulated room-pattern learning described.,src-4248e3ef755d
levoit-core-300s,PREDICT,EVIDENCED,"Caveat: VeSync App shows remaining filter life (replace every 6-8 months) -- reads as a usage-based countdown rather than a modeled forecast, but matches the filter-life forecasting example.",src-4248e3ef755d
levoit-core-300s,LEARN,UNKNOWN,No individual-preference learning described.,src-4248e3ef755d
levoit-core-300s,COORDINATE,UNKNOWN,Compatible with Alexa/Google Assistant via VeSync app -- single generic app/voice integration only.,src-4248e3ef755d
levoit-oasismist,SENSE,EVIDENCED,Humidistat provides real-time humidity monitoring.,src-2c7426755806
levoit-oasismist,REACT,EVIDENCED,Auto Mode automatically balances room humidity by adjusting mist levels.,src-2c7426755806
levoit-oasismist,ADAPT,UNKNOWN,No accumulated-pattern behavior described.,src-2c7426755806
levoit-oasismist,PREDICT,UNKNOWN,No forecast/prediction feature described.,src-2c7426755806
levoit-oasismist,LEARN,UNKNOWN,No individual-preference learning described.,src-2c7426755806
levoit-oasismist,COORDINATE,UNKNOWN,VeSync app provides remote control/schedules/timer/auto mode -- manual/scheduled single-device control only.,src-2c7426755806
